date,eth_price,eth_amount,lido_amount
2022-03-15 00:00,2590.03,202256,196960
2022-03-16 00:00,2621.01,63552,50784
2022-03-17 00:00,2768.24,48880,30688
2022-03-18 00:00,2818.06,50320,44352
2022-03-19 00:00,2941.49,113248,97632
2022-03-20 00:00,2943.64,14880,3872
2022-03-21 00:00,2863.85,8544,4128
2022-03-22 00:00,2900.14,26032,14048
2022-03-23 00:00,2977.48,36864,28128
2022-03-24 00:00,3023.6,20560,10720
2022-03-25 00:00,3107.58,22736,13856
2022-03-26 00:00,3105.13,13088,7904
2022-03-27 00:00,3144.84,8544,3360
2022-03-28 00:00,3289.6,12096,5664
2022-03-29 00:00,3326.48,23488,14464
2022-03-30 00:00,3403.82,65792,51008
2022-03-31 00:00,3381.24,121216,74656
2022-04-01 00:00,3281.99,41328,35616
2022-04-02 00:00,3454.53,25920,21056
2022-04-03 00:00,3446.39,40240,32864
2022-04-04 00:00,3525.88,16096,12000
2022-04-05 00:00,3523.22,67376,34464
2022-04-06 00:00,3421.39,32368,24672
2022-04-07 00:00,3174.26,48736,24928
2022-04-08 00:00,3251.17,40144,30432
2022-04-09 00:00,3199.53,18848,15232
2022-04-10 00:00,3261.58,29536,26496
2022-04-11 00:00,3207.35,16960,8416
2022-04-12 00:00,2991.81,28240,19168
2022-04-13 00:00,3033.68,71600,50208
2022-04-14 00:00,3121.95,23552,6400
2022-04-15 00:00,3025.4,71424,67296
2022-04-16 00:00,3045.34,35632,1088
2022-04-17 00:00,3066.75,2256,0
2022-04-18 00:00,3004.44,3968,0
2022-04-19 00:00,3065.64,69472,63200
2022-04-20 00:00,3104.78,48192,14560
2022-04-21 00:00,3080.65,52016,23904
2022-04-22 00:00,2994.27,43712,39328
2022-04-23 00:00,2971.89,13376,9888
2022-04-24 00:00,2939.81,6928,2784
2022-04-25 00:00,2943.69,15216,11456
2022-04-26 00:00,3003.71,62272,58880
2022-04-27 00:00,2808.73,69024,62720
2022-04-28 00:00,2888.47,45776,38016
2022-04-29 00:00,2933.26,32144,23840
2022-04-30 00:00,2816.08,18544,16544
2022-05-01 00:00,2735.32,54688,50752
2022-05-02 00:00,2829.42,121648,116160
2022-05-03 00:00,2859.81,60784,52384
2022-05-04 00:00,2785.35,36288,31744
2022-05-05 00:00,2941.91,21856,14976
2022-05-06 00:00,2749.82,54512,51072
2022-05-07 00:00,2694.98,18864,13568
2022-05-08 00:00,2633.83,6480,3136
2022-05-09 00:00,2520.51,66272,60992
2022-05-10 00:00,2252.76,16768,12288
2022-05-11 00:00,2343.78,19680,14944
2022-05-12 00:00,2076.53,11824,6656
2022-05-13 00:00,1968.7,14032,2336
2022-05-14 00:00,2014.51,5536,416
2022-05-15 00:00,2059.49,4272,1504
2022-05-16 00:00,2147.12,4816,384
